Num,Mean,Avg Weight,Avg Weight Corrrected,Avg Weight 2,Beta
341,-1.6,11.3,11.7,3.0,
342,-1.2,11.2,11.5,2.6,
343,-1.6,11.0,11.4,2.2,
344,-2.8,10.9,11.2,1.7,
345,-5,10.7,11.1,1.0,
346,-7.2,10.6,10.9,0.2,
347,-10.1,10.3,10.7,-0.8,
348,-11.1,10.1,10.4,-1.9,
349,-8,10.0,10.3,-2.5,
350,-7.2,9.8,10.1,-2.9,
351,-10,9.6,9.9,-3.7,
352,-1.7,9.5,9.8,-3.5,
353,4.1,9.4,9.7,-2.7,
354,-0.9,9.3,9.6,-2.5,
355,-3.8,9.2,9.4,-2.6,
356,-4.7,9.0,9.3,-2.9,
357,-2.1,8.9,9.2,-2.8,
358,-5.9,8.8,9.0,-3.1,
359,-8.2,8.6,8.9,-3.6,
360,-14.4,8.4,8.6,-4.7,
361,-15.5,8.1,8.4,-5.8,
362,-17.5,7.9,8.1,-6.9,
363,-12.3,7.7,7.9,-7.5,
364,-13.3,7.5,7.7,-8.1,
365,-18.6,7.2,7.4,-9.1,
